,year,pct,ser_num,datestop,timestop,recstat,inout,trhsloc,perobs,crimsusp,perstop,typeofid,explnstp,othpers,arstmade,arstoffn,sumissue,sumoffen,compyear,comppct,offunif,officrid,frisked,searched,contrabn,adtlrept,pistol,riflshot,asltweap,knifcuti,machgun,othrweap,pf_hands,pf_wall,pf_grnd,pf_drwep,pf_ptwep,pf_baton,pf_hcuff,pf_pepsp,pf_other,radio,ac_rept,ac_inves,rf_vcrim,rf_othsw,ac_proxm,rf_attir,cs_objcs,cs_descr,cs_casng,cs_lkout,rf_vcact,cs_cloth,cs_drgtr,ac_evasv,ac_assoc,cs_furtv,rf_rfcmp,ac_cgdir,rf_verbl,cs_vcrim,cs_bulge,cs_other,ac_incid,ac_time,rf_knowl,ac_stsnd,ac_other,sb_hdobj,sb_outln,sb_admis,sb_other,repcmd,revcmd,rf_furt,rf_bulg,offverb,offshld,sex,race,dob,age,ht_feet,ht_inch,weight,haircolr,eyecolor,build,othfeatr,addrtyp,rescode,premtype,premname,addrnum,stname,stinter,crossst,aptnum,city,state,zip,addrpct,sector,beat,post,xcoord,ycoord,dettypcm,linecm,detailcm
177072,2009,90,3901,4022009,1800,A,O,P,1.0,BURGLARY,5,P,Y,Y,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,90,90,N,N, , ,M,Q,10191976,32,5,8,160,BR,BR,M, ,L, , ,SIDEWALK,30,MANHATTAN AVENUE,MOORE STREET,VARET STREET, ,BROOKLYN, , ,90,G, , ,0999705,0195482,CM,1,14
228108,2009,41,2406,5022009,1125,A,O,P,1.0,MISD,2,V,Y,N,N, ,N, ,0,0,N,I,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,41,41,N,N,V,S,M,Q,12061991,17,5,5,170,BK,BR,M, ,L, , ,STREET, , ,PROSPECT AVENUE,EAST 149 STREET, ,BRONX, , ,41,E,5, ,1010695,0235228,CM,1,59
210879,2009,23,4472,4222009,1730,A,O,P,3.0,ROBBERY,3,V,Y,N,N, ,N, ,0,0,N, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,23,23,Y,N, ,S,Z,Z,9191988,20,5,7,180,BK,BR,M, ,L, , , , , ,MADISON AVENUE,EAST 109 STREET, ,MANHATTAN, , ,23,F, , ,0998622,0229118,CM,1,85
275915,2009,101,2718,6022009,205,1,I,T,20.0,FELO/ROBBERY,5,V,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,850,850,Y,N, , ,M,B,11041987,21,5,8,170,BK,BK,M, ,L, , ,STREET STAIRS, , ,BEACH 36 STREET,ROCKAWAY FREEWAY, ,QUEENS, , ,101,F, , , , ,CM,1,85
551310,2009,14,9373,12032009,2010,1,I,T,5.0,MISDEMEANOR,10,V,Y,N,N, ,N, ,0,0,N, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,872,863,N,N,V,S,M,B,11301969,41,5,8,160,BK,BR,M, ,L, , ,MEZZANINE, , ,7 AVENUE,WEST 34 STREET, ,MANHATTAN, , ,14,C,7, ,0986848,0212883,CM,1,68
464786,2009,43,8019,10072009,101,1,I,H,1.0,MISD,2,V,Y,Y,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,808,808,N,N, , ,M,P,12311900,20,5,7,150,BK,BR,T, ,L, , ,LOBBY,1704,RANDALL AVENUE,ROSEDALE AVENUE,BRONX RIVER AVENUE, ,BRONX, , ,43,A, , ,1021080,0236757,CM,1,31
274653,2009,78,1173,5312009,1959,A,I,P,1.0,ASSAULT,5,P,Y,Y,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,78,78,N,N, , ,M,B,1101965,44,5,11,210,BK,BR,M, ,L, , ,MT. PROSPECT PARK, , ,FLATBUSH AVENUE,EASTERN PARKWAY, ,BROOKLYN, , ,78,I,25, , , ,CM,1,9
184979,2009,28,2129,4072009,1348,A,O,P,2.0,FELONY,6,V,Y,N,N, ,N, ,0,0,N, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,28,28,N,N,V,S,M,B,10041982,16,5,11,180,BK,BR,M, ,L, , ,STREET,1864,7 AVENUE,WEST 114 STREET,WEST 113 STREET, ,MANHATTAN, , ,28,G, ,13,0997020,0231247,CM,1,28
36558,2009,114,583,1202009,2045,1,O,H,5.0,CRIMINAL TRESPASS,5,V,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,809,809,N,N, , ,M,B,4041991,17,5,6,145,BK,BR,M, ,L, , ,STREET, , ,12 STREET,35 AVENUE, ,QUEENS, , ,114,N, , ,1001413,0217093,CM,1,31
239980,2009,63,1337,5092009,1500,A,O,P,1.0,FEL,5,P,Y,Y,N, ,N, ,0,0,N, ,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,63,63,N,N,V,S,M,B,4041987,22,5,10,180,BK,BR,M, ,L, , ,STREET, , ,GLENWOOD ROAD,EAST 59 STREET, ,BROOKLYN, , ,63,H, , ,1006507,0170221,CM,1,85
169305,2009,113,3145,3282009,2350,A,O,P,5.0,FELONY,5,P,Y,Y,N, ,Y,UNREASONABLE NOISE,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,113,113,N,N, , ,M,B,5131980,28,5,10,170,BK,BR,M, ,L, , ,PUBLIC STREET, , ,HOLLIS AVENUE,202 STREET, ,QUEENS, , ,113,P, , ,1052029,0196722,CM,1,46
387290,2009,30,4670,8192009,200,1,O,P,2.0,FELONY,5,P,Y,N,N, ,Y,DISORDERLY CONDUCT,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,174,174,Y,N, , ,M,Q,8131983,26,5,8,165,BK,BR,M, ,L, , ,SIDEWALK, , ,BROADWAY,WEST 138 STREET, ,MANHATTAN, , ,30,A, , ,0997071,0238764,CM,1,20
212792,2009,114,3719,4232009,1709,1,O,P,3.0,CPW,10,V,Y,Y,Y,CPW,N, ,0,0,N, ,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,N,114,114,Y,N,V,S,M,W,8161990,18,5,7,170,BL,GR,U, ,L, , ,STREET, , ,80 STREET,19 AVENUE, ,QUEENS, , ,114,B, , ,1014623,0221007,CM,1,20
214650,2009,106,2555,4242009,1600,A,O,P,1.0,FEL,5,P,Y,Y,N, ,N, ,0,0,N, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,106,106,Y,N,V,S,M,A,3101991,18,5,11,150,BK,BR,M, ,L, , ,STREET,104-56,128 STREET,107 AVENUE,LIBERTY AVENUE, ,QUEENS, , ,106,G, , ,1035038,0190193,CM,1,14
157533,2009,111,1320,3222009,2105,A,O,P,1.0,BURGLARY,5,V,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,111,111,N,N, , ,M,W,5171993,15,5,10,180,BL,BL,M, ,L, , ,REAR OF WALDBAUM'S,58-31,198 STREET,LONG ISLAND EXPRESSWAY,58 AVENUE, ,QUEENS, , ,111,D, , ,1045655,0210627,CM,1,14
391608,2009,46,6392,8212009,1640,1,I,T,20.0,MISD,5,P,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,873,873,Y,N, , ,M,Q,6121984,20,5,5,150,BR,BR,M, ,L, , ,IND (D) MEZ, , ,EAST 188 STREET,GRAND CONCOURSE, ,BRONX, , ,46,D,1, ,1012539,0253107,CM,1,20
416312,2009,88,5129,9052009,2308,A,O,P,1.0,GLA,4,P,Y,N,N, ,N, ,0,0,N, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,88,88,N,N,V,S,M,B,3181983,26,5,9,170,BK,BR,T, ,L, , ,SIDEWALK, , ,CARLTON AVENUE,MYRTLE AVENUE, ,BROOKLYN, , ,88,G, , ,0991646,0191850,CM,1,46
472616,2009,69,4513,10112009,1050,1,O,P,1.0,GLA,3,P,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,69,69,N,N, , ,M,B,1231955,52,6,0,180,BR,BR,T, ,L, , ,STREET, , ,AVENUE N,ROCKAWAY PARKWAY, ,BROOKLYN, , ,69,F, , ,1014348,0170816,CM,1,46
338025,2009,75,19962,7162009,1350,A,O,P,1.0,CRIMINAL TRESPASS,10,V,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,75,75,N,N, , ,M,B,5021989,20,5,9,170,BK,BR,Z, ,L, , ,NYCHA HALLWAY,1165,STANLEY AVENUE,AUTUMN AVENUE,CRESCENT STREET, ,BROOKLYN, , ,75,M, , ,1021216,0181797,CM,1,31
194939,2009,68,871,4122009,527,A,O,P,1.0,FELONY,15,P,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,68,68,N,N, , ,M,W,12241987,21,6,1,150,BK,GR,T, ,L, , ,COMMERCIAL,725,69 STREET,8 AVENUE,7 AVENUE, ,BROOKLYN, , ,68,F, , ,0979900,0169102,CM,1,9
179707,2009,45,1318,4032009,2315,1,O,H,2.0,CPW,2,V,Y,N,N, ,N, ,0,0,N, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,808,808,Y,N,V,S,M,Q,2131974,34,5,5,165,BK,BR,H, ,L, , ,PARKING LOT,560,BALCOM AVENUE,SCHLEY AVENUE,DEWEY AVENUE, ,BRONX, , ,45,B, , ,1032371,0238490,CM,1,20
55520,2009,52,1295,1292009,1836,A,O,P,1.0,ROBBERY,3,V,Y,Y,N, ,N, ,0,0,N, ,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,52,52,Y,N,V,S,M,Q,1231991,18,5,5,150,BK,BR,T, ,L, , ,STREET, , ,CRESTON AVENUE,EAST 196 STREET, ,BRONX, , ,52,F, , ,1013525,0255672,CM,1,85
363058,2009,101,4217,8022009,1920,1,I,H,2.0,MISD,4,P,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,123,103,N,N, , ,F,Q,7201969,40,5,4,120,BK,BK,T, ,L, , ,BUILDING,54-81,ALMEDA AVENUE,BEACH 58 STREET,BEACH 54 STREET, ,QUEENS, , ,101,G, ,40,1043846,0157094,CM,1,31
527297,2009,114,9843,11162009,2050,1,I,H,8.0,CPW,9,P,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,809,809,N,N, , ,M,B,2181991,18,5,11,156,BK,BR,M, ,L, , , , ,8 STREET,ASTORIA BOULEVARD,27 AVENUE, ,QUEENS, , ,114,P, , ,1003135,0221351,CM,1,20
409598,2009,75,22698,9012009,2300,A,O,P,1.0,FEL,4,V,Y,N,N, ,N, ,0,0,N, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,187,187,Y,N,V,S,M,B,4211981,28,6,0,200,BK,BR,M, ,L, , ,STREET, , ,NEW LOTS AVENUE,MILLER AVENUE, ,BROOKLYN, , ,75,F, , ,1015066,0181095,CM,1,20
241932,2009,76,2450,5102009,1925,1,I,H,1.0,CRIM TRES   MISD   PSA #1497,5,P,Y,N,N, ,Y,240.20 (5),0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,801,801,Y,N, , ,M,B,4271989,20,5,7,150,BK,BR,T, ,L, , ,LOBBY,198,BOND STREET,BALTIC STREET,WYCKOFF STREET, ,BROOKLYN, , ,76,G,2, ,0987752,0188195,CM,1,31
271719,2009,75,15843,5292009,1900,A,O,P,3.0,FELONY,6,P,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,75,75,Y,Y, , ,M,B,3251983,26,6,4,180,BK,BR,M, ,L, , ,SIDEWALK,653,BLAKE AVENUE,NEW JERSEY AVENUE,PENNSYLVANIA AVENUE, ,BROOKLYN, , ,75,E, , ,1013501,0182622,CM,1,20
255236,2009,73,11846,5192009,1430,1,O,H,2.0,CPW,5,P,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,802,802,N,N, , ,M,B,10071984,24,6,0,180,BK,BR,M, ,L, , ,F/O 365 SACKMAN STREET,365,SACKMAN STREET,SUTTER AVENUE,BELMONT AVENUE, ,BROOKLYN, , ,73,I,9, ,1010698,0182951,CM,1,20
67027,2009,122,1021,2042009,2125,1,O,P,1.0,GL VEH,6,V,Y,N,Y,CPCS,N, ,0,0,N, ,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,122,122,N,N, ,S,M,W,8111959,49,5,6,210,BR,BR,M, ,L, , , , , ,GIFFORDS LANE,BALTIMORE STREET, ,STATEN ISLAND, , ,122,A, , ,0942389,0140403,CM,1,45
316077,2009,34,3673,7012009,118,A,O,P,2.0,C.P.W.,5,P,Y,Y,N, ,N, ,0,0,N, ,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,34,34,Y,N,V,S,M,P,7291988,20,5,11,190,BK,BR,M, ,L, , ,STREET, , ,DYCKMAN STREET,SEAMAN AVENUE, ,MANHATTAN, , ,34,D,11, ,1004148,0254866,CM,1,20
163307,2009,49,1759,3262009,53,A,O,P,2.0,FELONY,10,V,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,865,865,N,N, , ,M,B,10221987,21,5,9,160,BK,BR,M, ,L, , ,STREET AREA, , ,ARNOW AVENUE,OLINVILLE AVENUE, ,BRONX, , ,49,H,13, ,1020679,0255508,CM,1,85
