,year,pct,ser_num,datestop,timestop,recstat,inout,trhsloc,perobs,crimsusp,perstop,typeofid,explnstp,othpers,arstmade,arstoffn,sumissue,sumoffen,compyear,comppct,offunif,officrid,frisked,searched,contrabn,adtlrept,pistol,riflshot,asltweap,knifcuti,machgun,othrweap,pf_hands,pf_wall,pf_grnd,pf_drwep,pf_ptwep,pf_baton,pf_hcuff,pf_pepsp,pf_other,radio,ac_rept,ac_inves,rf_vcrim,rf_othsw,ac_proxm,rf_attir,cs_objcs,cs_descr,cs_casng,cs_lkout,rf_vcact,cs_cloth,cs_drgtr,ac_evasv,ac_assoc,cs_furtv,rf_rfcmp,ac_cgdir,rf_verbl,cs_vcrim,cs_bulge,cs_other,ac_incid,ac_time,rf_knowl,ac_stsnd,ac_other,sb_hdobj,sb_outln,sb_admis,sb_other,repcmd,revcmd,rf_furt,rf_bulg,offverb,offshld,sex,race,dob,age,ht_feet,ht_inch,weight,haircolr,eyecolor,build,othfeatr,addrtyp,rescode,premtype,premname,addrnum,stname,stinter,crossst,aptnum,city,state,zip,addrpct,sector,beat,post,xcoord,ycoord,dettypcm,linecm,detailcm
573345,2010,122,6380,12082010,30,1,O,P,2,GRAFFITI,5,P,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,122,122,Y,N, , ,M,W,5311991,19,5,8,170,BR,BR,M, ,L, , ,STREET, , ,SEASIDE LANE,CAPODANNO BOULEVARD, ,STATEN IS, , ,122,H, , ,966768,155776,CM,1,59
377423,2010,102,6089,8092010,2150,A,O,P,1,CRIMINAL MIS,3,P,Y,N,N, ,N, ,0,0,Y, ,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,Y,102,102,N,N, , ,M,Q,10141988,211,5,8,150,BL,BR,M, ,L, , ,STREET, , ,ATLANTIC AVENUE,89 STREET, ,QUEENS, , ,102,D, , ,1024980,189577,CM,1,23
447045,2010,40,13495,9242010,2245,1,O,P,2,CRIMINAL TRESPASS,2,P,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,163,40,N,N, , ,M,B,4161987,23,6,0,180,BK,BR,M, ,L, , ,PARK,765,COURTLANDT AV,EAST 157 STREET,EAST 156 STREET, ,BRONX, , ,40,G,   1, ,1007197,238731,CM,1,31
332629,2010,88,4087,7082010,2100,A,O,P,1,G LARC,5,V,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,88,88,N,N, , ,M,B,4261996,14,5,2,120,BK,BR,T, ,L, , ,SIDEWALK,24,MONUMENT WALK,MYRTLE AVENUE,PARK AVENUE, ,BROOKLYN, , ,88,J, , ,989976,192671,CM,1,45
349108,2010,46,6462,7202010,1215,A,O,P,3,GRAFFITI,5,V,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,46,46,N,N, , ,M,B,12161992,17,6,1,160,BK,BR,T, ,L, , ,STREET,2304,GRAND CONCOUR,FIELD PLACE,EAST 183 STREET, ,BRONX, , ,46,D,   1,  18,1011973,251769,CM,1,59
40952,2010,122,506,1232010,2230,1,I,P,1,CRIM MIS,30,V,Y,Y,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,122,122,N,N, , ,F,W,9271995,14,5,3,120,BR,HA,T, ,L, , ,HOUSE,198,WHEELER AVENU,WESTWOOD AVENUE,SOUTH GANNON AVENUE, ,STATEN IS, , ,122,N, , ,947910,160418,CM,1,23
442442,2010,75,20628,9222010,120,A,I,P,1,MISD,2,V,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,75,75,N,N, , ,M,B,9081959,61,5,11,300,BK,BR,H, ,L, , ,SIDEWALK,628,SCHENCK AVENU,NEW LOTS AVENUE,LIVONIA AVENUE, ,BROOKLYN, , ,75,F, , ,1015733,181624,CM,1,20
485878,2010,84,3406,10172010,1040,1,I,T,3,CRIMINAL MISCHIEF,5,P,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,870,870,Y,N, , ,M,W,12311900,27,5,9,160,BR,BL,T, ,L, , ,SUBWAY, , ,RED CROSS PLACE,CADMAN PLAZA EAST, ,BROOKLYN, , ,84,D, , ,987076,194131,CM,1,23
399223,2010,49,5840,8242010,1638,A,O,P,1,MISD,20,V,Y,N,N, ,Y,PUBLIC U,0,0,Y, ,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,49,49,Y,N, , ,Z,Z,8181974,36,5,7,150,BK,BR,M, ,L, , ,PARK, , ,BRONX PARK EAST,BOSTON ROAD, ,BRONX, , ,49,D,   5, ,1020243,251158,CM,1,24
212510,2010,44,3298,5012010,2300,A,O,P,1,MISD,5,V,Y,N,N, ,N, ,0,0,Y, ,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,173,44,Y,Y, , ,M,B,1131993,17,6,0,170,BK,BR,T, ,L, , , , , ,FINDLAY AVENUE,EAST 166 STREET, ,BRONX, , ,44,H, , ,1008053,241673,CM,1,20
471801,2010,23,14216,10092010,1630,1,O,P,3,MISD,4,V,Y,N,N, ,Y,DISCON,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,23,23,Y,N, , ,M,B,10101992,17,5,7,135,BK,BR,M, ,L, , ,STREET, , ,MADISON AVENUE,EAST 110 STREET, ,MANHATTAN, , ,23,F, , ,998746,229343,CM,1,59
354315,2010,76,3007,7232010,2340,1,I,H,1,CPW EL PSA# 2573,5,R,Y,Y,N, ,N, ,0,0,N, ,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,Y,N,N,N,801,801,Y,N,V,S,M,B,12311900,17,5,7,150,BK,BR,M, ,L, , ,HALLWAY,80,DWIGHT STREET,SULLIVAN STREET,RED HOOK PARK, ,BROOKLYN, , ,76,A,  10, ,981799,185636,CM,1,20
518464,2010,70,9376,11052010,55,1,I,P,1,ROBB,3,R,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,164,70,N,N, , ,M,B,12311900,24,5,10,170,BR,BR,T, ,L, , , , , ,EAST 18 STREET,CHURCH AVENUE, ,BROOKLYN, , ,70,J,23, ,994496,175887,CM,1,85
274226,2010,84,1811,6022010,2020,A,O,P,1,FELONY,5,V,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,84,84,N,N, , ,M,U,12311900,32,5,1,170,BR,BR,M, ,L, , ,BRIDGE, , ,SANDS STREET,PEARL STREET, ,BROOKLYN, , ,84,D, , ,987636,194298,CM,1, 97
297401,2010,42,5303,6162010,2140,1,O,P,1,FEL,3,P,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,42,42,N,N, , ,M,B,11051991,18,5,7,160,BK,BR,T, ,L, , ,STREET, , ,BRYANT AVENUE,HOME STREET, ,BRONX, , ,42,F, , ,1014969,241244,CM,1, 20
508804,2010,103,14282,10302010,225,1,O,P,1,BURGLARY,5,P,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,103,103,N,N, , ,M,B,12311900,20,6,0,180,BK,BR,M, ,L, , ,STREET,168-36,88 AVENUE,169 STREET,168 PLACE, ,QUEENS, , ,103,B,4, ,1041570,197934,CM,1,14
594704,2010,81,11436,12232010,100,1,O,P,1,ROBBERY,5,P,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,81,81,N,N, , ,M,B,12311900,19,6,1,160,BK,BR,M, ,L, , ,ST, , ,FULTON STREET,RALPH AVENUE, ,BROOKLYN, , ,81,J,12, ,1005983,186617,CM,1,85
79228,2010,14,1516,2162010,1625,1,I,T,10,PETIT LARCENY,5,V,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,860,860,N,N, , ,M,B,2271988,21,6,2,180,BK,BR,T, ,L, , ,BTH #R138, , ,7 AVENUE,WEST 34 STREET, ,MANHATTAN, , ,14,C,7, ,986848,212883,CM,1,68
72084,2010,113,1325,2112010,2245,A,O,P,3,ROBBERY,2,P,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,113,113,N,N, , ,M,B,1121986,24,5,7,200,BK,BR,M, ,L, , , , , ,MANGIN AVENUE,FARMERS BOULEVARD, ,QUEENS, , ,113,P, , ,1049387,194913,CM,1,85
153493,2010,73,5894,4032010,5,1,O,H,1,CPW,2,V,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,802,802,Y,N, , ,M,B,10211993,17,5,7,120,BK,BR,M, ,L, , ,SIDEWALK, , ,OSBORN STREET,BELMONT AVENUE, ,BROOKLYN, , ,73,H,8, ,1009618,182913,CM,1,20
221269,2010,49,2835,5062010,1820,1,I,T,10,FEL,5,V,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,865,865,N,N, , ,M,Q,3211993,17,5,8,155,BK,BR,T, ,L, , ,MEZZ, , ,WHITE PLAINS ROAD,ALLERTON AVENUE, ,BRONX, , ,49,H,13, ,1020937,254605,CM,1, 45
523987,2010,120,16454,11072010,2307,A,O,P,1,ASSAULT 3,5,O,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,120,120,N,N, , ,M,Q,1021993,17,5,5,160,BK,BR,T, ,L, , ,FERY TERMINAL,1,RICHMOND TERR,WALL STREET,SOUTH STREET, ,STATEN IS, , ,120,E, , ,963345,173201,CM,1,9
254938,2010,83,3414,5222010,2330,A,O,P,1,GLA,10,P,Y,Y,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,83,83,N,N, , ,M,Q,5301990,19,5,4,130,BR,BR,T, ,L, , ,PARKING LOT,300,WYCKOFF AVENU,PUTNAM AVENUE,PALMETTO STREET, ,BROOKLYN, , ,83,H, ,7,1008979,194098,CM,1, 46
198385,2010,42,2677,4252010,1900,1,I,H,10,CRIM TRES,20,P,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,807,807,N,N, , ,M,Q,2171976,34,5,7,140,BK,BR,T, ,L, , ,NYCHA,1428,WEBSTER AVENU,EAST 171 STREET,EAST 170 STREET, ,BRONX, , ,42,B, , ,1010013,244242,CM,1,31
168373,2010,61,1339,4112010,450,1,O,H,1,MIS,10,P,Y,Y,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,801,801,Y,N, , ,M,B,3291987,23,6,1,190,BK,BR,M, ,L, , , ,3641,NOSTRAND AVEN,AVENUE X,AVENUE W, ,BROOKLYN, , ,61,E,7, ,1000685,156043,CM,1,9
533780,2010,77,10740,11122010,2345,1,O,H,2,FEL,5,P,Y,Y,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,802,802,Y,N, , ,Z,Z,12311900,17,5,9,165,BK,BR,M, ,L, , ,NYCHA,553,KINGSBOROUGH,BERGEN STREET,PACIFIC STREET, ,BROOKLYN, , ,77,K,1, ,1005429,185128,CM,1,20
121227,2010,40,4103,3122010,2000,1,O,P,2,CPW,5,V,Y,Y,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,47,138,N,N, , ,M,Q,1151986,24,5,9,170,BK,BK,M, ,L, , ,STREET, , ,3 AVENUE,EAST 156 STREET, ,BRONX, , ,40,F,2, ,1008312,238086,CM,1,20
41328,2010,69,1003,1242010,28,1,O,P,2,CPM,10,P,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,69,69,Y,N, , ,M,B,2191990,19,6,2,140,BK,BR,M, ,L, , ,STREET, , ,EAST 101 STREET,FLATLANDS AVENUE, ,BROOKLYN, , ,69, , , ,1012661,174513,CM,1,27
91546,2010,40,3623,2232010,1440,1,I,T,10,FEL/ ROBBERY,6,P,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,850,850,N,N, , ,M,B,2231993,17,5,10,150,BK,BR,T, ,L, , ,MEZZ, , ,WESTCHESTER AVENUE,EAST 152 STREET, ,BRONX, , ,40,D,7, , , ,CM,1,85
519496,2010,47,8681,11052010,1710,A,O,P,2,FEL,3,V,Y,N,N, ,N, ,0,0,N, ,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,Y,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,47,47,Y,N,V,S,M,B,11131995,14,5,8,150,BK,BR,T, ,L, , ,SIDEWALK, , ,BRONXWOOD AVENUE,EAST 217 STREET, ,BRONX, , ,47,B, , ,1023563,260040,CM,1,20
81760,2010,114,1671,2182010,5,1,I,H,5,CPW,5,P,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,809,809,N,N, , ,M,B,1011991,19,5,8,190,BK,BR,M, ,L, , , , ,8 STREET,28 AVENUE,27 AVENUE, ,QUEENS, , ,114,P, , ,1003135,221351,CM,1,20
170086,2010,75,11428,4122010,1250,A,O,P,10,CPW,3,P,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,140,140,Y,Y, , ,M,B,8071980,30,5,11,170,BK,BR,M, ,L, , ,PUBLIC SIDEWALK,252,LINCOLN AVENU,ATLANTIC AVENUE,FULTON STREET, ,BROOKLYN, , ,75,D, , ,1020484,188438,CM,1,20
272966,2010,23,7778,6022010,3,1,O,H,1,CPCS,1,P,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,805,805,N,N, , ,M,Q,12051990,19,5,6,150,BK,GY,M, ,L, , ,SIDEWALK,60,EAST 102 STRE,PARK AVENUE,MADISON AVENUE, ,MANHATTAN, , ,23,C, , ,997845,227405,CM,1, 24
